titles,preds
Approaches to exploring category information for question retrieval in community question-answer archives,13
Joint recognition and linking of fine-grained locations from tweets,16
Efficient Algorithms and Cost Models for Reverse Spatial-Keyword k-Nearest Neighbor Search,18
Discovering frequent substructures from hierarchical semi-structured data,5
Influence maximization with novelty decay in social networks,20
Speed-up iterative frequent itemset mining with constraint changes,12
Discovering question and answer pairs,29
Inf2vec: Latent representation model for social influence embedding,23
Distributed publish/subscribe query processing on the spatio-textual data stream,9
Learning to find topic experts in Twitter via different relations,17
Distributed Spatial Keyword Querying on Road Networks.,9
Partial evaluation for distributed XPath query processing and beyond,16
On effective e-mail classification via neural networks,7
Online anomalous trajectory detection with deep generative sequence modeling,25
Learning travel time distributions with deep generative model,29
Author name disambiguation using a new categorical distribution similarity,2
"A survey on trajectory data management, analytics, and learning",4
Reverse  Nearest Neighbor Search over Trajectories,0
A general model for out-of-town region recommendation,4
Efficient selection of geospatial data on maps for interactive and visualized exploration,16
Topic exploration in spatio-temporal document collections,20
Our Method Initializor in Layer 0,24
Where you instagram? Associating your instagram photos with points of interest,1
SOPS: A system for efficient processing of spatial-keyword publish/subscribe,28
Efficient spatial keyword search in trajectory databases,25
Where your photo is taken: Geolocation prediction for social images,1
Semi-supervised text classification using partitioned em,14
Distributed algorithms on exact personalized pagerank,9
Incremental maintenance of quotient cube for median,11
Context-aware deep model for joint mobility and time prediction,12
Effective and efficient sports play retrieval with deep representation learning,8
Efficient algorithm for computing link-based similarity in real world networks,16
Dynadiffuse: A dynamic diffusion model for continuous time constrained influence maximization,28
An estimation system for XPath expressions,4
Exploring domain-specific term weight in archived question search,5
Efficient processing of location-aware group preference queries,16
Updating recursive XML views of relations,5
Coarse-to-fine review selection via supervised joint aspect and sentiment model,10
On spatial pattern matching,7
Hyperbolic recommender systems,25
A tri-role topic model for domain-specific question answering,4
Efficient similar region search with deep metric learning,25
Effective and efficient clustering methods for correlated probabilistic graphs,8
An association-based unified framework for mining features and opinion words,4
Content-enriched classifier for web video classification,12
Online multimodal deep similarity learning with application to image retrieval,16
Towards best region search for data exploration,7
Endoreversible thermoeconomics,25
A reversible carry-look-ahead adder using control gates,4
"Bai, Hongliang 20, 32 Blasi, Saverio 20 Bovik, Alan. C. 23",10
SPECIAL ISSUE ON DEEP LEARNING,26
Margin-based Bounds on an Asymmetric Error of a Combined Classifier,12
Situation-aware pedestrian trajectory prediction with spatio-temporal attention model,12
Implementing Otsu's thresholding process using area-time efficient logarithmic approximation unit,17
SSA-CNN: Semantic self-attention CNN for pedestrian detection,6
Learning heterogeneous traffic patterns for travel time prediction of bus journeys,5
Nonparametric technique based high-speed road surface detection,2
Algorithms for bi-objective multiple-choice hardware/software partitioning,22
Rapid design of area-efficient custom instructions for reconfigurable embedded processing,11
A framework for fast and robust visual odometry,4
High-speed environment representation scheme for dynamic path planning,27
Accelerating the K-shortest paths computation in multimodal transportation networks,5
Real-time road traffic density estimation using block variance,27
HiMap: A hierarchical mapping approach for enhancing lifetime reliability of dark silicon manycore systems,28
Low-complexity pruning for accelerating corner detection,27
CAP: Context-Aware Pruning for Semantic Segmentation,28
Area-time efficient sign detection technique for binary signed-digit number system,19
High-throughput and area-optimized architecture for rBRIEF feature extraction,27
Algorithmic aspects of graph reduction for hardware/software partitioning,11
Self-growing spatial graph networks for pedestrian trajectory prediction,12
Collaborative Task Offloading with Computation Result Reusing for Mobile Edge Computing,26
Rapid detection of Rowhammer attacks using dynamic skewed hash tree,16
Threshold-guided design and optimization for harris corner detector architecture,12
Enhanced low-complexity pruning for corner detection,9
Bus Travel Speed Prediction using Attention Network of Heterogeneous Correlation Features,26
